source_system;category;question;answer
evdi;Automatisierte Investmentstrategien;"Warum kann der reservierte Betrag von meinem Wunschbetrag abweichen?";"Ein Teilbetrag des Finanzierungsvolumens wird immer öffentlich angeboten. Sollte die Nachfrage der automatisierten Investmentstrategien das verfügbare Finanzierungsvolumen überschreiten, kürzen wir alle angelegten Reservierungen entsprechend."
evdi;Automatisierte Investmentstrategien;"Kann ich die Autoreservierung stoppen?";"Sie können Ihre Anlagestrategie jederzeit pausieren und auch wieder reaktivieren."
evdi;Sicherheit bei Engel & Völkers Digital Invest;"Wie kann ich das Risiko einer Investition in Immobilienprojekte bei Engel & Völkers Digital Invest richtig einschätzen?";"Jedes Immobilienprojekt durchläuft einen strikten und mehrstufigen Analyseprozess und wird anschließend in eine der vier Anlageklassen (AA, A, B, C) eingeordnet. Ein geringerer Zins geht mit einem geringerem Ausfallrisiko einher und umgekehrt. So haben Sie als Anleger die Möglichkeit, sich ein diversifiziertes Portfolio nach Ihren persönlichen Präferenzen zusammenzustellen."
evdi;Sicherheit bei Engel & Völkers Digital Invest;"Welche Sicherheiten habe ich?";"Die Zahlungen werden über einen Treuhänder abgewickelt. Zusätzlich wird mit den Projektentwicklern eine vertragliche Ausschüttungssperre für die Projektgesellschaft vereinbart. Das heißt, der Projektentwickler kann erst auf Gewinne zugreifen, wenn alle Darlehen zurückgezahlt wurden. Je nach Projekt sind teilweise auch weitere Sicherheiten wie beispielsweise nachrangige Grundschulden und Bürgschaften möglich. Bitte informieren Sie sich auf der jeweiligen Projektseite und in der zur Verfügung gestellten Dokumentation für jedes Projekt (z.B. Darlehensvertrag und Vorvertragliche Verbraucherinformationen) über den genauen Umfang und die Wirkungsweise der jeweiligen Sicherheiten. Um die Risiken zu begrenzen, führen wir außerdem immer eine sehr umfassende Risikoanalyse durch und nehmen nur Projekte auf unsere Plattform, von denen wir selbst so überzeugt sind, dass wir uns daran beteiligen."
evdi;Sicherheit bei Engel & Völkers Digital Invest;"Welche Risiken gibt es?";"Mit Ihrem Investment treten Sie als Kapitalgeber für Unternehmen auf, die am Immobilienmarkt aktiv sind. Ihre Investitionen unterliegen somit einem unternehmerischen Risiko. Im schlimmsten Fall besteht das Risiko des Totalverlustes des eingesetzten Kapitals. Dieses Risiko für Sie als Anleger wird über die erwarteten höheren Zinsen vergütet. Sie entscheiden selbst, ob ein Projekt zu Ihnen und Ihrem Risikoprofil passt. Ausführlichere Informationen zum Risiko finden Sie hier."
evdi;Sicherheit bei Engel & Völkers Digital Invest;"Was bedeutet Finanzierungsgarantie?";"Die Vollfinanzierungsgarantie bedeutet, dass kein Mindestbetrag über die Crowd zusammenkommen muss, damit das Projekt erfolgreich finanziert wird. Falls weniger Geld durch die Crowd zusammenkommt als angestrebt, ist die Finanzierung sichergestellt. Engel & Völkers Digital Invest und unsere institutionellen Partner beteiligen sich an jedem unserer vorgestellten Projekte."
evdi;Sicherheit bei Engel & Völkers Digital Invest;"Was passiert bei Verzögerung der Fertigstellung?";"Auch falls sich die Fertigstellung des Projektes verzögert, bleibt Ihr Anspruch auf Rückzahlung der Darlehenssumme inklusive der Zinsen bestehen."
evdi;Sicherheit bei Engel & Völkers Digital Invest;"Was passiert mit meinem Geld, falls es die Plattform nicht mehr gibt?";"Die Verträge mit den jeweiligen Projektentwicklern werden auch weiterhin Bestand haben und sind auch ohne Bestehen der Plattform gültig. Somit ist die Rückzahlung Ihres Darlehens und der Zinsen nicht gefährdet. Eine zusätzliche Sicherheit besteht dadurch, dass die Zahlungsabwicklung durch Treuhandkonten eines von der Plattform unabhängigen Zahlungsdienstleisters erfolgt."
evdi;Sicherheit bei Engel & Völkers Digital Invest;"Wer verwaltet das investierte Kapital?";"Die Secupay AG, mit Sitz in Pulsnitz bei Dresden, ist als Zahlungsdienstleister für die Kapitaltransaktionen verantwortlich und verwaltet das Kapital als Treuhänder. Secupay überweist das Kapital erst an den Projektträger, wenn die für die Auszahlung vertraglich vereinbarten Bedingungen vom Projektträger erfüllt sind. Die Rückzahlung erfolgt auf demselben Weg: Vom Projektträger wird das Kapital an den Treuhänder Secupay überwiesen, von wo es dann an die Investoren ausgeschüttet wird."
evdi;Sicherheit bei Engel & Völkers Digital Invest;"Welche Pflichten habe ich?";"Nachdem Sie Ihr Kapital in der vertraglich vereinbarten Höhe gezahlt haben, bestehen für Sie keine weiteren Pflichten. Insbesondere gibt es für Sie keinerlei Nachschusspflicht."
evdi;Sicherheit bei Engel & Völkers Digital Invest;"Was tut Engel & Völkers Digital Invest für die Sicherheit meiner Daten?";"Wir garantieren Ihnen einen stets diskreten Umgang mit Ihren persönlichen Daten. Alle Transaktionen und Datenübermittlungen bei uns unterliegen höchsten Sicherheitsstandards. Datenübermittlungen erfolgen immer verschlüsselt und sind somit nicht von Dritten einsehbar. Sie investieren anonym, da wir Ihre Daten nicht veröffentlichen."
evdi;Rendite & Gebühren;"Welche Gebühren muss ich zahlen?";"Keine, die Registrierung und Investitionen über unsere Crowdinvesting-Plattform sind grundsätzlich kostenfrei, sowohl für registrierte Privatanleger als auch für institutionelle Anleger. Ihre Investition fließt somit zu 100 % in das von Ihnen ausgewählte Immobilienprojekt."
evdi;Rendite & Gebühren;"Welche Zinsen / Rendite erhalte ich?";"Sie erhalten Zinsen zwischen 4,00 und 8,00 % p.a. - abhängig von der Risikoklasse des Projekts."
evdi;Rendite & Gebühren;"Wann erhalte ich meine Zinsen und die Rückzahlung meines Investments?";"Wir vermitteln endfällige Darlehen. Das heißt, Sie bekommen Ihre Investmentsumme am Ende der Laufzeit zurück. Die Zinsauszahlungen erfolgen grundsätzlich zum Ende eines jeden Quartals (also Ende März, Ende Juni, Ende September, Ende Dezember). Die Laufzeit Ihres Investments beginnt ab dem Tag, an dem der Betrag auf dem Zahlungskonto unseres Treuhänders eingegangen ist. Ihr Kapital wird Ihnen ab diesem Tag von uns verzinst. Die Verzinsung für die individuelle Periode zwischen Geldeingang und Projektstart wird Ihnen separat ausgewiesen und zeitgleich mit der ersten regulären Zinsrate ausgezahlt. Informieren Sie uns unbedingt über alle Änderungen Ihrer Kontaktdaten oder Ihrer Bankverbindung, um so einen reibungslosen Ablauf der Rückzahlungen zu gewährleisten."
evdi;Rendite & Gebühren;"Was ist der Effektivzins?";"Bei Ihren Investitionen ist der wichtigste Zinssatz der Effektivzins. Dieser gibt an, wie hoch die tatsächlich erreichte Rendite bei einer Investition ist und enthält im Gegensatz zum vereinbarten Nominalzins alle verbundenen Kosten und zusätzlichen Erträge. Da Investitionen auf unserer Plattform kostenfrei sind, verändern häufig zusätzliche Erträge (z.B. durch Verzugszinsen) den Effektivzins nach oben. Auch eine vorzeitige Tilgung erhöht Ihre effektive Rendite, sofern vereinbarte Zinsen ebenfalls vorzeitig erhalten werden."
evdi;Rendite & Gebühren;"Wie werden meine Erträge besteuert?";"Unser Zahlungsdienstleister seit dem Jahr 2023 verpflichtet, die Kapitalertragsteuer sowie Solidaritätszuschlag und ggf. individuelle Sätze der Kirchensteuer auf Zinseinkünfte nach dem Quellensteuerprinzip einzubehalten und abzuführen. Dies gilt für natürliche Personen, die in der Bundesrepublik Deutschland steuerpflichtig sind. Diese erhalten also Ihre Zinseinkünfte nach den gesetzlichen Abzügen. Engel & Völkers Digital Invest wird dem Zahlungsdienstleister die für die Abführung der Kapitalertragsteuer erforderlichen Informationen zuleiten. Hierfür werden gemäß den gesetzlichen Pflichten für Anleger mit Investments die entsprechenden Daten beim Bundeszentralamt für Steuern für den jeweiligen Anleger abgefragt und dem Zahlungsdienstleister zur Verfügung zu gestellt. Für institutionelle Anleger und Privatanleger mit Wohnsitz außerhalb Deutschlands gilt: Engel & Völkers Digital Invest führt keine Kapitalertragssteuer für Sie ab. Wir stellen Ihnen jedoch zum Ende des ersten Quartals eines jeden Jahres eine Übersicht Ihrer Vorjahres-Erträge zur Verfügung, die Sie für Ihre Steuererklärung heranziehen können. Diese senden wir Ihnen per Mail zu, stellen dieses Dokument aber auch dauerhaft in Ihrem Dashboard zur Verfügung. Sollten Sie noch weitere Fragen bezüglich der Kapitalertragssteuer haben, empfehlen wir Ihnen, einen Steuerberater zu kontaktieren, da es uns gesetzlich nicht erlaubt ist, steuerliche Beratungsleistungen zu erbringen."
evdi;Rendite & Gebühren;"Wie verdient Engel & Völkers Digital Invest am Crowdinvesting?";"Damit Engel & Völkers Digital Invest die Kosten für Kundenservice, Plattform, Marketingmaßnahmen sowie Transaktionskosten usw. begleichen kann, erhält Engel & Völkers Digital Invest vom jeweiligen Projektentwickler eine Vergütung."
evdi;Anlegeridentifizierung;"Warum muss ich mich identifizieren?";"Aufgrund stärkerer rechtlicher Anforderungen im Bereich des Geldwäschegesetzes kann eine einmalige Identifizierung der Anleger notwendig werden. Die Prüfung wird über das etablierte POSTIDENT-Verfahren abgewickelt und ist für Sie kostenlos."
evdi;Anlegeridentifizierung;"Wie läuft die Identifizierung ab?";"Sie können sich bei uns mit dem etablierten POSTIDENT-Verfahren schnell und verlässlich identifizieren lassen. Dabei haben Sie die Wahl zwischen einer Online-Identifizierung oder stationär bei einer Postfiliale. Bitte haben Sie dafür ein gültiges Legitimationsdokument (Personalausweis oder Reisepass mit Meldebescheinigung) zur Hand. Nach erfolgreicher Identifikation werden Sie von uns freigeschaltet und Sie können in unsere Projekte investieren."
evdi;Anlegeridentifizierung;"Wie funktioniert das POSTIDENT-Verfahren durch eine Postfiliale?";"Bringen Sie Ihren ausgedruckten POSTIDENT-Coupon sowie ein gültiges Legitimationsdokument (Personalausweis oder Reisepass mit Meldebescheinigung) mit in die Postfiliale. Nach Vorlage des Coupons wird ein Mitarbeiter der Postfiliale die Identitätsprüfung durchführen. Daraufhin wird dieser die Daten bestätigen und eine Unterschrift von Ihnen verlangen. Nach Abschluss der Identifikation in der Filiale wird eine elektronische Übermittlung an uns erfolgen und wir schalten Ihr Anlegerkonto frei."
evdi;Anlegeridentifizierung;"Wie funktioniert die POSTIDENT Video-Identifizierung?";"Sie starten die Identifizierung auf der Website oder in der App der deutschen Post und wählen die Option Videochat als Verfahren. Ihre Daten werden zum Start des Prozesses automatisch durch uns an die Deutsche Post übermittelt. Bitte wählen Sie bei der Identifizierung das Legitimationsdokument (Personalausweis oder Reisepass mit Meldebescheinigung) als Nachweis aus. Über die Webcam prüft ein Call-Center-Mitarbeiter der Post Ihre Legitimationsdaten. Anschließend erhalten Sie eine SMS-TAN, mit der Sie den Identifizierungsprozess durch Ihre Bestätigung abschließen. Nach erfolgreicher Prüfung informieren wir Sie per E-Mail."
evdi;Anlegeridentifizierung;"Was ist eine politisch exponierte Person (PEP)?";"Politisch exponiert ist eine Person, wenn sie entweder selbst ein hochrangiges wichtiges öffentliches Amt auf internationaler, europäischer oder nationaler Ebene ausübt oder ausgeübt hat, oder ein unmittelbares Familienmitglied von ihr bzw. eine ihr bekanntermaßen nahestehende Person diese Voraussetzung erfüllt. Diese Personengruppe wird als Risikogruppe in Bezug auf Geldwäsche eingestuft und wird daher separat von uns geprüft. Wir behalten uns hierbei gegebenenfalls eine Ablehnung der Geschäftsbeziehung vor."
